,0
47,"{'file': 200611, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/200611.wav': System error."")}"
48,"{'file': 153685, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/153685.wav': System error."")}"
49,"{'file': 153426, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/153426.wav': System error."")}"
50,"{'file': 137760, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/137760.wav': System error."")}"
51,"{'file': 131308, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/131308.wav': System error."")}"
52,"{'file': 100518, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/100518.wav': System error."")}"
53,"{'file': 97763, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/97763.wav': System error."")}"
54,"{'file': 64934, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/64934.wav': System error."")}"
55,"{'file': 41592, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/41592.wav': System error."")}"
56,"{'file': 21244, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/21244.wav': System error."")}"
57,"{'file': 465779, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/common_chiffchaff/465779.wav': Internal error : SF_INFO struct incomplete."")}"
58,"{'file': 465780, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/willow_warbler/465780.wav': Internal error : SF_INFO struct incomplete."")}"
59,"{'file': 455419, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/grey_plover/455419.wav': System error."")}"
60,"{'file': 396535, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/grey_plover/396535.wav': System error."")}"
61,"{'file': 614564, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/grey_plover/614564.wav': System error."")}"
62,"{'file': 431273, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/grey_plover/431273.wav': System error."")}"
63,"{'file': 560551, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/dunnock/560551.wav': Internal error : SF_INFO struct incomplete."")}"
64,629709
65,565185
66,"{'file': 456971, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/common_blackbird/456971.wav': Internal error : SF_INFO struct incomplete."")}"
